nombre,num_vars,num_constraints,num_frac_vars,frac_var_ratio,lp_obj_value,primal_bound,dual_bound,gap,feasible_leaves,lp_iterations,lp_solving_time,lp_iterations_per_var,nsols,obj_mean,obj_std,obj_pos_ratio,obj_neg_ratio,obj_nonzero_ratio,farkas_mean,farkas_std,farkas_min,activity_mean,n_constraints_static,n_variables_static,pct_unary_constraints,pct_binary_constraints,pct_ternary_constraints,pct_quaternary_or_more,pct_terms_in_obj,pct_terms_in_constraints,pct_positive_terms_in_constraints,pct_positive_terms_in_obj,lbd_avg,trailpop_per_conflict,decisions_per_total_conflict,propagations_per_total_conflict,prop_per_decisions,decisions_per_conflict,propagations_per_conflict,total_conflicts_per_conflict,learned_clauses_per_conflict,restarts_per_conflict,learned_clause_length_avg,time_taken
normalized-j12054_9.std.opb,53519.0,126394.0,0.0,0.0,1e+20,1e+20,-1e+20,1e+20,0.0,0.0,5.018293,0.0,0.0,0.6198347107438017,11.126066629782756,0.004118503061420609,0.0,0.004118503061420609,0.0,0.0,0.0,0.0,256326.0,72842.0,0.00336681,0.852356,0.139596,0.00468154,0.000459087,0.999541,0.390028,1.0,112717000.0,-160631.0,37.5044,47.0869,1.2555,169014.0,212197.0,4506.5,3901.96,21.287,-8.05989,4.67834
normalized-mult_diagcomm_opt_greater_teq_nbits_34.opb,5712.0,3412.0,5712.0,1.0,0.0,0.0,-4096.0,1e+20,0.0,23864.0,5.000515,4.177871148459384,1.0,0.0,2.865648703137983e+18,0.009615384615384616,0.009615384615384616,0.019230769230769232,1.0000000000000002e+99,2.4283361152821613e+83,1e+99,0.01652813526569284,10540.0,7072.0,0.0,0.567742,0.219355,0.212903,0.0045045,0.995495,0.425339,0.5,107272000.0,-544180.0,5.92638,-322.27,-54.3788,10151.9,-552048.0,1713.0,967.242,9.92851,169.072,4.92439
normalized-BA_RDC4.dot_luby_20null50mast_rapportOE1.0_TMAX120_K67_cod1.opb,30417.0,30874.0,0.0,0.0,1e+20,1e+20,-1e+20,1e+20,0.0,0.0,5.036247,0.0,0.0,-102.40760426194656,124.55420746621131,0.0,0.6346938270994537,0.6346938270994537,0.0,0.0,0.0,0.0,40950.0,40451.0,2.442e-05,0.0951404,0.625348,0.279487,0.103709,0.896291,0.455087,0.0,126771000.0,2075460.0,412.476,5023.63,12.1792,159628.0,1944140.0,387.0,87.2916,3.37677,26823.7,4.66465
normalized-BA_RDC4.dot_luby_50null10mast_rapportOE2.0_TMAX120_K67_cod2.opb,21991.0,22056.0,0.0,0.0,1e+20,1e+20,-1e+20,1e+20,0.0,0.0,5.135329,0.0,0.0,-0.31826953611647163,8.776986958307246,0.0,0.005935950362752522,0.005935950362752522,0.0,0.0,0.0,0.0,41436.0,40937.0,2.41336e-05,0.0940245,0.618013,0.287938,0.00108743,0.998913,0.598238,0.0,96458300.0,1685220.0,271.85,4133.99,15.2069,106158.0,1614320.0,390.5,83.188,3.43734,17495.0,4.82108
normalized-vertexcover_opt_grid_oddrowoddcolsquare_dim_057.opb,3249.0,6498.0,3249.0,1.0,1679.0,1679.0,1638.147435897436,0.02493827063873739,0.0,8209.0,5.002406,2.5266235764850724,7.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.9856378915202444,6498.0,3249.0,0.0,1.0,0.0,0.0,0.2,0.8,1.0,1.0,110771000.0,221045.0,20.6528,161.566,7.82294,25289.3,197837.0,1224.5,216.216,7.80041,-2693.4,4.87092
normalized-vertexcover_opt_grid_oddrowoddcolsquare_dim_121.opb,14641.0,29282.0,14641.0,1.0,7439.0,7439.0,0.0,1e+20,0.0,12154.0,5.001525,0.8301345536507069,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,29282.0,14641.0,0.0,1.0,0.0,0.0,0.2,0.8,1.0,1.0,129254000.0,64877.1,39.9755,77.6209,1.94171,26463.8,51385.0,662.0,34.283,3.73736,-38341.9,4.85447
normalized-NG.dot_fibo_10null20mast_rapportOE2.0_TMAX15_K192_cod2.opb,400896.0,400786.0,0.0,0.0,1e+20,1e+20,-1e+20,1e+20,0.0,0.0,5.128394,0.0,0.0,-12.593909642401021,343.6873207705484,0.0,0.004003532088122605,0.004003532088122605,0.0,0.0,0.0,0.0,402763.0,400896.0,0.0,0.0607007,0.329586,0.609713,0.000685739,0.999314,0.63328,0.0,115044000.0,1725370.0,58508.2,246076.0,4.20583,380304.0,1599490.0,6.5,3.35714,1.0,9355.06,4.41874
normalized-NG.dot_fibo_20null10mast_rapportOE2.0_TMAX180_K192_cod2.opb,400896.0,400786.0,0.0,0.0,1e+20,1e+20,-1e+20,1e+20,0.0,0.0,5.3312100000000004,0.0,0.0,-7.937160759897829,258.16807406683284,0.0,0.0035595266602809704,0.0035595266602809704,0.0,0.0,0.0,0.0,402763.0,400896.0,0.0,0.0607007,0.329586,0.609713,0.000609734,0.99939,0.63328,0.0,116322000.0,1990680.0,55276.4,274314.0,4.96259,386935.0,1920200.0,7.0,3.86667,1.0,13709.3,4.41133
normalized-neos-954925.opb,84671.0,2585.0,0.0,0.0,0.0,0.0,-1e+20,1e+20,0.0,0.0,5.027348,0.0,1.0,-5901.41335961661,272.7734263847722,0.0005311740126065299,0.9978753039495739,0.9984064779621804,0.0,0.0,0.0,0.0,2989.0,84718.0,0.0,0.0,0.0,1.0,0.0909919,0.909008,0.175374,0.000532022,128531000.0,401588.0,611.967,6429.66,10.5065,35800.1,376135.0,58.5,13.8475,1.15254,307.034,4.79889
normalized-NG.dot_fibo_0null20mast_rapportOE2.0_TMAX180_K192_cod2.opb,400896.0,400786.0,0.0,0.0,1e+20,1e+20,-1e+20,1e+20,0.0,0.0,5.275257,0.0,0.0,-12.750795717592593,345.0937506243234,0.0,0.00444753751596424,0.00444753751596424,0.0,0.0,0.0,0.0,402763.0,400896.0,0.0,0.0607007,0.329586,0.609713,0.000761731,0.999238,0.63328,0.0,115044000.0,1831300.0,59534.4,270782.0,4.54834,386974.0,1760090.0,6.5,3.64286,1.0,14763.0,4.39013
normalized-BA_RDC4.dot_fibo_0null20mast_rapportOE1.0_TMAX300_K67_cod2_pbEq1_newVersion_product.opb,52558.0,135477.0,0.0,0.0,1e+20,1e+20,-1e+20,1e+20,0.0,0.0,5.038229,0.0,0.0,-24.55809424447922,477.9503390637442,0.0,0.008450704225352112,0.008450704225352112,0.0,0.0,0.0,0.0,149401.0,57510.0,6.6934e-06,0.752431,0.171404,0.0761575,0.0012156,0.998784,0.589766,0.0,105111000.0,190646.0,81.1269,39.7328,0.489762,150531.0,73724.3,1855.5,1745.48,10.5598,295.214,4.71678
normalized-fx49.opb,1505.0,1102.0,1505.0,1.0,1e+20,1e+20,5.0,1e+20,0.0,25486.0,5.001422,16.93421926910299,0.0,0.002347417840375587,0.048393258516639205,0.002347417840375587,0.0,0.002347417840375587,0.0,0.0,0.0,7.966265060240964,2495.0,2130.0,0.0,0.851703,0.0,0.148297,0.000226603,0.999773,0.192883,1.0,78962200.0,-74948.5,5.68027,-18.3179,-3.22483,35919.2,-115833.0,6323.5,1050.81,28.4617,3.62217,4.88478
