nombre,opt_gurobi,obj_gurobi,time_gurobi,opt_scip,obj_scip,time_scip,opt_roundingsat,obj_roundingsat,time_roundingsat,opt_rs_default,obj_rs_default,time_rs_default,opt_mixed-bag,obj_mixed-bag,time_mixed-bag,opt_naps,obj_naps,time_naps,min,max,vbs,opt_vbs,obj_vbs
normalized-BA_RDC4.dot_fibo_0null0mast_rapportOE2.0_TMAX180_K67_cod2_pbEq1_newVersion_sequential.opb,0,0.0,3600.01,0,2.0,,0,0.0524075146029574,1687.2,0,0.0711992843235278,3310.96,0,0.4459874756617376,3600.03,0,1.0,2.639384,-190030.0,0.0,0.0,0,0.0
normalized-BA_RDC4.dot_luby_20null50mast_rapportOE2.0_TMAX15_K67_cod2_pbEq1_newVersion_ladder.opb,1,0.0,23.72,1,0.0,246.26,1,0.0,3423.29,1,0.0,1890.53,1,0.0,1373.09,1,0.0,117.019258,-58.0,-58.0,0.0,1,0.0
normalized-BA_RDC4.dot_luby_20null0mast_rapportOE2.0_TMAX180_K67_cod2_pbEq1_newVersion_ladder.opb,0,0.0,3600.02,0,0.4017467248908297,3600.0,0,0.0436681222707423,3249.78,0,0.0873362445414847,1946.77,0,0.4017467248908297,3600.02,0,1.0,1370.493899,-708.0,-479.0,0.0,0,0.0
normalized-BA_RDC4.dot_fibo_20null20mast_rapportOE2.0_TMAX180_K67_cod1.opb,0,0.0,3600.01,0,0.0,3600.01,0,0.2618504194932268,2870.06,0,0.1630634628796043,3298.76,0,2.0,,0,1.0,16.677259,-189276.0,0.0,0.0,0,0.0
normalized-BA_RDC4.dot_luby_20null0mast_rapportOE1.0_TMAX60_K67_cod3.opb,0,0.0,3600.0,0,0.0398406374501992,3600.01,0,0.0318725099601593,1547.27,0,0.0318725099601593,3567.54,0,0.3665338645418327,3598.9,0,1.0,338.747609,-504.0,-2.0,0.0,0,0.0
normalized-BA_RDC4.dot_unif_50null10mast_rapportOE2.0_TMAX15_K67_cod2_pbEq1_newVersion_binary.opb,1,0.0,94.45,1,0.0,966.42,1,0.0,41.9364,1,0.0,76.2429,1,0.0,649.806,1,0.0,656.143528,-3212.0,-3212.0,0.0,1,0.0
normalized-vertexcover_opt_grid_oddrowoddcolsquare_dim_121.opb,0,0.0019342359767891,3600.03,0,0.002321083172147,3600.0,0,1.0,2275.07,0,0.0098646034816247,2403.53,0,2.0,,1,0.0,154.279315,7381.0,12551.0,0.0,1,0.0
normalized-minisat50_6_9_0_ic.opb,0,0.6898180782687598,3600.1,0,1.0,3600.02,0,0.1544986050698062,542.937,0,0.0,3215.41,0,0.209754302445293,3600.0,0,0.2552675391811763,942.285152,54491143.0,129817493.0,0.0,0,0.0
normalized-aries-da_network_1000_5__369_766__512.opb,1,0.0,5.28,1,0.0,66.77,0,2.0,,0,2.0,,0,2.0,,0,2.0,,87132.0,87132.0,0.0,1,0.0
normalized-NG.dot_unif_50null0mast_rapportOE2.0_TMAX120_K192_cod2.opb,0,0.0,3600.03,0,2.0,,0,0.8021058645880096,3520.17,0,0.1503693425294862,3551.22,0,2.0,,0,1.0,32.709758,-49006.0,0.0,0.0,0,0.0
normalized-NG.dot_unif_10null50mast_rapportOE1.0_TMAX180_K192_cod2.opb,0,0.0,3600.03,0,2.0,,0,0.6056379243074522,3425.91,0,0.3534676160749122,3021.13,0,0.5735100468201326,3600.09,0,1.0,31.7913,-82016.0,0.0,0.0,0,0.0
normalized-NG.dot_fibo_50null0mast_rapportOE1.0_TMAX180_K192_cod2.opb,0,0.0,3600.06,0,2.0,,0,0.3374373605677066,3470.75,0,0.2458268405062723,3436.21,0,0.999991592022511,3600.02,0,1.0,32.965454,-356804.0,0.0,0.0,0,0.0
normalized-BA_RDC4.dot_unif_10null50mast_rapportOE2.0_TMAX120_K67_cod2_pbEq1_newVersion_ladder.opb,0,0.0225942450165773,3600.01,0,0.0221030657770864,3600.0,0,0.0,3588.71,0,0.2153002333101387,3479.39,0,0.505955548278826,3537.08,0,1.0,864.613043,-24879.0,-448.0,0.0,0,0.0
normalized-BA_RDC4.dot_unif_50null0mast_rapportOE2.0_TMAX15_K67_cod2.opb,1,0.0,28.03,1,0.0,797.12,1,0.0,159.114,1,0.0,231.801,1,0.0,254.93,1,0.0,1495.514514,-2656.0,-2656.0,0.0,1,0.0
normalized-BA_RDC4.dot_fibo_0null50mast_rapportOE1.0_TMAX120_K67_cod2_pbEq1_newVersion_ladder.opb,1,0.0,20.48,1,0.0,1064.34,0,0.4783634063355975,3042.08,0,0.4677836054029045,3585.79,0,0.0276982791446083,3600.01,0,1.0,178.569471,-247577.0,-3338.0,0.0,1,0.0
normalized-mps-v2-20-10-n3706.opb,1,0.0,3.01,0,2.0,,0,1.0,3590.89,0,0.7280429357434077,3595.24,0,0.6694562828425402,3600.0,0,2.0,,1323009024.0,5121059484.0,0.0,1,0.0
normalized-BA_RDC4.dot_unif_20null0mast_rapportOE2.0_TMAX180_K67_cod2_pbEq1_newVersion_sequential.opb,0,0.0,3600.02,0,2.0,,0,0.049545305981197,2647.49,0,0.1969315363466825,1840.93,0,0.5915059696614308,3600.0,0,1.0,2.7738,-52013.0,0.0,0.0,0,0.0
